Unnamed: 0,game_date,home_team,away_team,is_day_game,home_score,away_score,venue,venue_name,city,state,away_pa,away_1b,away_2b,away_3b,away_hr,away_fo,away_so,away_bb,away_hbp,home_pa,home_1b,home_2b,home_3b,home_hr,home_fo,home_so,home_bb,home_hbp,latitude,longitude,distance,BABIP,BABIP_average,HOU_score,HOU_AvgPoint
57,2000-04-07,HOU,PHI,False,1,4,HOU03,Minute Maid Park,Houston,TX,35,3,1,0,2,21,5,3,0,32,4,0,0,1,20,5,2,0,29.7604,-95.3698,1829.8898379267123,0.125,0.14377783226181395,1,1.0
150,2000-04-14,SDN,HOU,False,4,10,SAN01,Qualcomm Stadium,San Diego,CA,44,7,1,0,3,22,3,8,0,39,9,3,1,0,20,5,1,0,32.7157,-117.1611,2093.8537196175917,0.16666666666666666,0.2247863247863248,10,10.0
196,2000-04-18,LAN,HOU,False,5,3,LOS03,Dodger Stadium,Los Angeles,CA,35,3,1,0,1,16,9,4,1,35,3,2,0,3,11,13,2,1,34.0522,-118.2437,179.41042505730124,0.15,0.25921052631578945,3,3.0
236,2000-04-21,HOU,SDN,False,2,7,HOU03,Minute Maid Park,Houston,TX,41,4,7,0,0,19,8,3,0,39,4,1,0,1,17,9,7,0,29.7604,-95.3698,2206.264028358936,0.18181818181818182,0.19501767050154148,2,2.0
323,2000-04-28,MIL,HOU,False,0,7,MIL05,County Stadium,Milwaukee,WI,44,4,1,0,3,21,4,11,0,29,1,0,0,0,23,3,2,0,43.0389,-87.9065,1618.8722925866018,0.07692307692307693,0.1982780150883599,7,7.0
374,2000-05-02,CHN,HOU,False,11,1,CHI11,Wrigley Field,Chicago,IL,37,2,1,0,1,21,6,6,0,43,8,5,0,3,18,6,3,0,41.8781,-87.6298,131.0556033889396,0.08333333333333333,0.205,1,1.0
418,2000-05-05,LAN,HOU,False,3,2,LOS03,Dodger Stadium,Los Angeles,CA,32,2,0,0,2,22,5,1,0,37,5,3,0,1,21,3,4,0,34.0522,-118.2437,2803.971506975192,0.0,0.21587301587301586,2,2.0
460,2000-05-08,HOU,COL,False,1,3,HOU03,Minute Maid Park,Houston,TX,38,3,2,0,1,21,6,5,0,34,2,0,0,1,17,10,2,2,29.7604,-95.3698,2206.264028358936,0.05263157894736842,0.1965171549563564,1,1.0
561,2000-05-16,MIL,HOU,False,6,5,MIL05,County Stadium,Milwaukee,WI,64,9,3,0,2,32,12,6,0,71,7,2,0,2,33,15,10,2,43.0389,-87.9065,1618.8722925866018,0.22727272727272727,0.22727272727272727,5,5.0
597,2000-05-19,MON,HOU,False,3,2,MON02,Stade Olympique,Montreal,QUE,42,7,0,0,1,22,5,7,0,38,5,1,0,2,18,9,3,0,45.5017,-73.5673,1172.3491773080455,0.20689655172413793,0.19076038903625112,2,2.0
638,2000-05-22,MIL,HOU,True,10,9,MIL05,County Stadium,Milwaukee,WI,50,7,4,1,1,25,5,6,1,42,10,3,0,1,19,6,3,0,43.0389,-87.9065,1172.3491773080455,0.2972972972972973,0.2348555452003728,9,9.0
644,2000-05-23,HOU,PHI,False,10,2,HOU03,Minute Maid Park,Houston,TX,37,6,2,0,0,17,7,4,1,40,8,3,0,2,19,4,4,0,29.7604,-95.3698,1618.8722925866018,0.3,0.17871494976758137,10,10.0
731,2000-05-29,COL,HOU,True,8,7,DEN02,Coors Field,Denver,CO,45,7,2,1,2,14,13,5,1,44,12,1,0,2,18,4,7,0,39.7392,-104.9903,1413.6448443865136,0.3333333333333333,0.3437006986702727,7,7.0
780,2000-06-02,HOU,CHA,False,4,7,HOU03,Minute Maid Park,Houston,TX,38,6,2,0,1,22,6,1,0,39,9,1,0,0,20,6,3,0,29.7604,-95.3698,1413.6448443865136,0.3333333333333333,0.2431176231176231,4,4.0
865,2000-06-08,LAN,HOU,False,5,2,LOS03,Dodger Stadium,Los Angeles,CA,35,4,0,0,2,16,9,3,1,35,7,1,0,1,19,4,3,0,34.0522,-118.2437,2206.264028358936,0.1,0.1,2,2.0
872,2000-06-09,SDN,HOU,False,6,7,SAN01,Qualcomm Stadium,San Diego,CA,42,8,1,0,1,19,7,5,1,41,5,5,0,1,21,6,3,0,32.7157,-117.1611,179.41042505730124,0.2857142857142857,0.2518037518037518,7,7.0
923,2000-06-13,COL,HOU,False,3,6,DEN02,Coors Field,Denver,CO,41,12,2,0,1,17,8,0,1,43,9,0,1,0,17,8,7,1,39.7392,-104.9903,1340.249516244305,0.41935483870967744,0.22220252865414156,6,6.0
965,2000-06-16,SFN,HOU,False,7,4,SFO03,Oracle Park,San Francisco,CA,39,5,2,1,1,21,5,4,0,43,7,2,1,2,21,4,6,0,37.7749,-122.4194,1524.5033014131038,0.2413793103448276,0.24285293250810494,4,4.0
1015,2000-06-20,HOU,LAN,False,6,9,HOU03,Minute Maid Park,Houston,TX,51,13,3,1,1,19,9,5,0,47,9,2,0,2,21,9,3,1,29.7604,-95.3698,2643.0458529405155,0.28125,0.28429289819376025,6,6.0
1100,2000-06-26,ARI,HOU,False,6,1,PHO01,Chase Field,Phoenix,AZ,31,4,0,0,1,20,6,0,0,37,2,3,0,3,10,14,5,0,33.4484,-112.074,1632.1668815292296,0.125,0.2959436396936397,1,1.0
1158,2000-06-30,SLN,HOU,False,5,4,STL09,Busch Stadium II,St. Louis,MO,39,6,0,0,0,19,9,5,0,38,10,2,0,1,15,7,3,0,38.627,-90.1994,2043.754051675069,0.24,0.18625,4,4.0
1211,2000-07-04,HOU,ARI,False,4,10,HOU03,Minute Maid Park,Houston,TX,44,6,3,0,2,26,2,5,0,35,2,2,0,2,14,12,3,0,29.7604,-95.3698,1094.0998481890863,0.1111111111111111,0.2065993265993266,4,4.0
